,level_0,index,Health Facility Code Short_x,Facility Name,Old Health Facility Names,Old Health Facility Name 2,Health Facility Type,Ownership Major Classification,Ownership Sub-Classification for Government facilities,Ownership Sub-Classification for private facilities,Street Name and #           ,Building name and #,Region Name,Region PSGC,Province Name,Province PSGC,City/Municipality Name,City/Municipality PSGC,Barangay Name,Barangay PSGC,Zip Code,Official Website,Hospital Licensing Status,Service Capability,Bed Capacity,target,lat,lon,Health Facility Code Short_y
0,7,7,421,BALINDONG MUNICIPAL HOSPITAL,,,Hospital,Government,National Government,,,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,LANAO DEL SUR,153600000,BALINDONG (WATU),153603000,SALIPONGAN,153603047,9318,,With License,Level 1,10.0,1,7.916963999999999,124.200093,17
1,8,8,438,BULUAN DISTRICT HOSPITAL,,,Hospital,Government,National Government,,NATIONAL HIGHWAY,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,MAGUINDANAO,153800000,BULUAN,153803000,POBLACION,153803039,9616,,With License,Level 1,100.0,1,6.723078399999999,124.7977409,13
2,9,9,465,DATU HALUN SAKILAN MEMORIAL HOSPITAL,,,Hospital,Government,National Government,,LAMION STREET,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,TAWI-TAWI,157000000,BONGAO (Capital),157002000,,,7500,,With License,Level 1,50.0,1,5.0258106,119.7764414,8
3,10,10,500,"DR. JOSE MA. TORRES MEMORIAL FOUNDATION HOSPITAL, INC.",,,Hospital,Private,,,DR. JOSE TORRES STREET,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,BASILAN,150700000,CITY OF LAMITAN (Capital),150702000,,,7302,,With License,Level 1,,1,6.646832,122.1017,3
4,11,11,529,DR. SERAPIO MONTAÑER JR. AL-HAJ MEMORIAL HOSPITAL,MALABANG DISTRICT HOSPITAL,,Hospital,Government,National Government,,,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,LANAO DEL SUR,153600000,MALABANG,153615000,MABLE,153615038,9300,,With License,Level 1,25.0,1,7.5808011,124.0811188,17
6,13,13,632,MAGUINDANAO PROVINCIAL HOSPITAL,,,Hospital,Government,National Government,,,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,MAGUINDANAO,153800000,DATU HOFFER AMPATUAN,153835000,,,,,With License,Level 2,299.0,1,6.851121,124.430382,13
7,14,14,671,"MINDALANO SPECIALIST HOSPITAL FOUNDATION, INC.",MINDALANO MEDICAL SPECIALIST HOSPITAL,,Hospital,Private,,,,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,LANAO DEL SUR,153600000,MARAWI CITY (Capital),153617000,PANGGAO SADUC,153617090,9700,,With License,Level 1,50.0,1,8.0082685,124.2881913,17
8,15,15,696,PANGUTARAN DISTRICT HOSPITAL,,,Hospital,Government,National Government,,,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,SULU,156600000,PANGUTARAN,156608000,SIMBAHAN (POB.),156608013,7414,,With License,Level 1,25.0,1,6.2988034,120.584355,10
9,16,16,751,SMD GENERAL HOSPITAL,,,Hospital,Private,,,"MENOR STREET, PANGARUNGAN VILLAGE",,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,LANAO DEL SUR,153600000,MARAWI CITY (Capital),153617000,,,9700,,With License,Level 1,50.0,1,7.999663,124.292243,17
11,43,43,2165,AMAI PAKPAK MEDICAL CENTER,,,Hospital,Government,Department Of Health,,,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,LANAO DEL SUR,153600000,MARAWI CITY (Capital),153617000,NAVARRO (DATU SABER),153617083,9700,,With License,Level 2,438.0,1,8.004511100000002,124.2840052,17
13,61,61,2808,EDIBORAH P. YAP MEMORIAL HOSPITAL,LAMITAN DISTRICT HOSPITAL,,Hospital,Government,National Government,,,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,BASILAN,150700000,CITY OF LAMITAN (Capital),150702000,LIMO-OK,150702028,7302,,With License,Level 1,25.0,1,6.6529004,122.1354892,3
14,69,69,2963,WAO DISTRICT HOSPITAL,WAO EMERGENCY HOSPITAL,,Hospital,Government,National Government,,,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,LANAO DEL SUR,153600000,WAO,153630000,WESTERN WAO (POB.),153630042,9716,,With License,Level 1,25.0,1,7.638365,124.7219068,17
