index,geometry,road_distance
0,POINT (121.1183334876752 14.62942218780529),0.011771657070995397
1,POINT (121.1288102248621 14.61857509613048),0.014991697987007687
2,POINT (121.1288102248621 14.62942218780529),0.03734738844337164
3,POINT (121.1288102248621 14.64026927948009),0.02067763540358288
4,POINT (121.1288102248621 14.6511163711549),0.06964680420601282
5,POINT (121.1392869620489 14.60772800445568),
6,POINT (121.1392869620489 14.61857509613048),0.002102587572557305
7,POINT (121.1392869620489 14.62942218780529),0.016372451405026876
8,POINT (121.1392869620489 14.64026927948009),0.0501112014172877
9,POINT (121.1497636992357 14.59688091278088),0.0037810196049498338
10,POINT (121.1497636992357 14.60772800445568),0.019886713505004656
11,POINT (121.1497636992357 14.61857509613048),0.025694101468360087
12,POINT (121.1497636992357 14.62942218780529),0.026699329125715772
13,POINT (121.1497636992357 14.64026927948009),0.023606381349972397
14,POINT (121.1602404364225 14.58603382110607),0.004152676294250931
15,POINT (121.1602404364225 14.59688091278088),0.05547469483030544
16,POINT (121.1602404364225 14.60772800445568),0.02164116010310286
17,POINT (121.1602404364225 14.61857509613048),
18,POINT (121.1602404364225 14.62942218780529),0.020801964253494606
19,POINT (121.1602404364225 14.64026927948009),
20,POINT (121.1602404364225 14.6511163711549),
21,POINT (121.1707171736093 14.57518672943127),0.03245152985053748
22,POINT (121.1707171736093 14.58603382110607),0.01770305518371394
23,POINT (121.1707171736093 14.59688091278088),0.0028622687092609736
24,POINT (121.1707171736093 14.60772800445568),0.05412983000324832
25,POINT (121.1707171736093 14.61857509613048),0.014516173591983665
26,POINT (121.1707171736093 14.62942218780529),0.0014475149677856147
27,POINT (121.1707171736093 14.64026927948009),
28,POINT (121.1707171736093 14.6511163711549),0.022688394129575875
29,POINT (121.1707171736093 14.6619634628297),0.03771443810395666
30,POINT (121.1811939107962 14.57518672943127),0.010131002503617703
31,POINT (121.1811939107962 14.58603382110607),0.03302583531349915
32,POINT (121.1811939107962 14.59688091278088),0.002280181565348331
33,POINT (121.1811939107962 14.60772800445568),
34,POINT (121.1811939107962 14.61857509613048),0.013161230462350964
35,POINT (121.1811939107962 14.62942218780529),0.028405645336287626
36,POINT (121.1811939107962 14.64026927948009),0.030896187285027667
37,POINT (121.1811939107962 14.6511163711549),0.0504047364995966
38,POINT (121.1811939107962 14.6619634628297),
39,POINT (121.1811939107962 14.67281055450451),
40,POINT (121.191670647983 14.57518672943127),0.01834603609599413
41,POINT (121.191670647983 14.58603382110607),0.014041531033856436
42,POINT (121.191670647983 14.59688091278088),0.008626048114768586
43,POINT (121.191670647983 14.60772800445568),0.022682156537661022
44,POINT (121.191670647983 14.61857509613048),0.026829078528952
45,POINT (121.191670647983 14.62942218780529),0.06749165261721728
46,POINT (121.191670647983 14.64026927948009),
47,POINT (121.191670647983 14.6511163711549),0.050318371195706334
48,POINT (121.191670647983 14.6619634628297),
49,POINT (121.191670647983 14.67281055450451),
50,POINT (121.191670647983 14.68365764617931),
51,POINT (121.2021473851698 14.57518672943127),0.04452942545391993
52,POINT (121.2021473851698 14.58603382110607),0.012764893147849189
53,POINT (121.2021473851698 14.59688091278088),
54,POINT (121.2021473851698 14.60772800445568),0.007775414428986651
55,POINT (121.2021473851698 14.61857509613048),0.012940585895175561
56,POINT (121.2021473851698 14.62942218780529),
57,POINT (121.2021473851698 14.64026927948009),0.024394313776050773
58,POINT (121.2021473851698 14.6511163711549),
59,POINT (121.2021473851698 14.6619634628297),0.05622640613741721
60,POINT (121.2021473851698 14.67281055450451),
61,POINT (121.2021473851698 14.68365764617931),0.005800196088535903
62,POINT (121.2021473851698 14.69450473785412),
63,POINT (121.2021473851698 14.70535182952892),
64,POINT (121.2021473851698 14.71619892120373),
65,POINT (121.2126241223567 14.58603382110607),0.0588819867029103
66,POINT (121.2126241223567 14.59688091278088),
67,POINT (121.2126241223567 14.60772800445568),
68,POINT (121.2126241223567 14.61857509613048),
69,POINT (121.2126241223567 14.62942218780529),
70,POINT (121.2126241223567 14.64026927948009),
71,POINT (121.2126241223567 14.6511163711549),0.041147967640804535
72,POINT (121.2126241223567 14.6619634628297),
73,POINT (121.2126241223567 14.67281055450451),0.053200324004107645
74,POINT (121.2126241223567 14.68365764617931),
75,POINT (121.2126241223567 14.69450473785412),
76,POINT (121.2126241223567 14.70535182952892),
77,POINT (121.2126241223567 14.71619892120373),
78,POINT (121.2126241223567 14.72704601287853),
79,POINT (121.2231008595435 14.58603382110607),0.006386131139317407
80,POINT (121.2231008595435 14.59688091278088),0.06860907847927086
81,POINT (121.2231008595435 14.60772800445568),0.027528845855090536
82,POINT (121.2231008595435 14.61857509613048),
83,POINT (121.2231008595435 14.62942218780529),0.038129764391568434
84,POINT (121.2231008595435 14.64026927948009),0.0423981593043189
85,POINT (121.2231008595435 14.6511163711549),0.055929447741298044
86,POINT (121.2231008595435 14.6619634628297),0.05611531735526191
87,POINT (121.2231008595435 14.67281055450451),
88,POINT (121.2231008595435 14.68365764617931),
89,POINT (121.2231008595435 14.69450473785412),
90,POINT (121.2231008595435 14.70535182952892),
91,POINT (121.2231008595435 14.71619892120373),
92,POINT (121.2231008595435 14.72704601287853),
93,POINT (121.2231008595435 14.73789310455334),
94,POINT (121.2335775967303 14.59688091278088),
95,POINT (121.2335775967303 14.60772800445568),
96,POINT (121.2335775967303 14.61857509613048),
97,POINT (121.2335775967303 14.62942218780529),0.06866300360294532
98,POINT (121.2335775967303 14.64026927948009),
99,POINT (121.2335775967303 14.6511163711549),0.03292511982728844
100,POINT (121.2335775967303 14.6619634628297),
101,POINT (121.2335775967303 14.67281055450451),
102,POINT (121.2335775967303 14.68365764617931),
103,POINT (121.2335775967303 14.69450473785412),
104,POINT (121.2335775967303 14.70535182952892),
105,POINT (121.2335775967303 14.71619892120373),
106,POINT (121.2335775967303 14.72704601287853),
107,POINT (121.2335775967303 14.73789310455334),
108,POINT (121.2440543339171 14.59688091278088),0.06537751283875594
109,POINT (121.2440543339171 14.60772800445568),
110,POINT (121.2440543339171 14.61857509613048),
111,POINT (121.2440543339171 14.62942218780529),0.01704271964893983
112,POINT (121.2440543339171 14.64026927948009),0.03198041015478287
113,POINT (121.2440543339171 14.6511163711549),
114,POINT (121.2440543339171 14.6619634628297),
115,POINT (121.2440543339171 14.67281055450451),0.05014014362016874
116,POINT (121.2440543339171 14.68365764617931),0.022514156922370344
117,POINT (121.2440543339171 14.69450473785412),0.06856733881097814
118,POINT (121.2440543339171 14.70535182952892),
119,POINT (121.2440543339171 14.71619892120373),
120,POINT (121.2440543339171 14.72704601287853),
121,POINT (121.2440543339171 14.73789310455334),
122,POINT (121.254531071104 14.60772800445568),
123,POINT (121.254531071104 14.61857509613048),0.023076343725311043
124,POINT (121.254531071104 14.62942218780529),
125,POINT (121.254531071104 14.64026927948009),
126,POINT (121.254531071104 14.6511163711549),0.013969911295965072
127,POINT (121.254531071104 14.6619634628297),
128,POINT (121.254531071104 14.67281055450451),
129,POINT (121.254531071104 14.68365764617931),
130,POINT (121.254531071104 14.69450473785412),
131,POINT (121.254531071104 14.70535182952892),
132,POINT (121.254531071104 14.71619892120373),
133,POINT (121.254531071104 14.72704601287853),
134,POINT (121.254531071104 14.73789310455334),
135,POINT (121.2650078082908 14.60772800445568),
136,POINT (121.2650078082908 14.61857509613048),
137,POINT (121.2650078082908 14.62942218780529),
