"Date and Time Downloaded : 12/30/2020 03:18:14 pm""Health Facility Code""",Health Facility Code Short,Facility Name,Old Health Facility Names,Old Health Facility Name 2,Old Health Facility Name 3,Health Facility Type,Ownership Major Classification,Ownership Sub-Classification for Government facilities,Ownership Sub-Classification for private facilities,Street Name and #           ,Building name and #,Region Name,Region PSGC,Province Name,Province PSGC,City/Municipality Name,City/Municipality PSGC,Barangay Name,Barangay PSGC,Zip Code,Landline Number,Landline Number 2,Fax Number,Email Address,Alternate Email Address,Official Website,Facility Head: Last Name,Facility Head: First Name,Facility Head: Middle Name,Facility Head: Position,Hospital Licensing Status,Service Capability,Bed Capacity,lon,lat,precision
DOH000000000000159,159,STRIKE SA SERBISYO CITY HEALTH UNIT I (POBLACION),BACOOR RURAL HEALTH UNIT I,,,Rural Health Unit,Government,Local Government Unit,,EVANGELISTA STREET,,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,BACOOR CITY,42103000,TABING DAGAT,042103023,4102.0,+63 454-3311,,,poblacionrhui@yahoo.com,,,DEGUZMAN,MUTYA MARVIS,CORPUZ,Medical Officer,Not Applicable,,,120.9220843,14.1702662,GEOMETRIC_CENTER
DOH000000000000161,161,CARMONA RURAL HEALTH UNIT, , , ,Rural Health Unit,Government,Local Government Unit, , , ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,CARMONA,42104000,BARANGAY  4 (POB.),042104015,4116.0,+63 464302372, ,+63 46 4302372,mho.carmona@gmail.com, , ,AGUINALDO,HOMER,L.,Municipal Health Officer,,,,121.0561828,14.3160555,GEOMETRIC_CENTER
DOH000000000000163,163,DASMARIÑAS CITY HEALTH OFFICE II,,,,Rural Health Unit,Government,Local Government Unit,,,,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,CITY OF DASMARI?AS,42106000,SANTA CRUZ I,042106041,4115.0,+63 464165638,,+63 464165638,dasma_cho2pidsr@yahoo.com,,,CAZEÑAS,MINERVA,MANGUBAT,City Health Officer,,,,120.98203,14.316577,GEOMETRIC_CENTER
DOH000000000001920,1920,GEN. MARIANO ALVAREZ RURAL HEALTH UNIT II, , , ,Rural Health Unit,Government,Local Government Unit, , , ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,GEN. MARIANO ALVAREZ,42123000,BARANGAY  2 POBLACION,042123003,4117.0,+63 469722017, , ,gmarhu@yahoo.com, , ,ALCASID,EDUARDO, ,Municipal Health Officer,,,,120.7408996,14.1776224,GEOMETRIC_CENTER
DOH000000000002049,2049,ALFONSO RURAL HEALTH UNIT,,,,Rural Health Unit,Government,Local Government Unit,,071 BURGOS STREET,,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,ALFONSO,42101000,BARANGAY I (POB.),042101002,4123.0,+63 465220568,,+63 465220568,rnmdmph_ha@yahoo.com,,,MANZO,EVANGELINA,B.,Municipal Health Officer,,,,120.8555741,14.1401954,ROOFTOP
DOH000000000002170,2170,ROSARIO RURAL HEALTH UNIT II,,,,Rural Health Unit,Government,Local Government Unit,,SCOUT TORILLO STREET,,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,ROSARIO,42117000,POBLACION,042117008,4106.0,+63 464382690,,+63 464380642,,,,DE JESUS,NOELLE,,Public Health Nurse,,,,120.837636,14.3553685,GEOMETRIC_CENTER
DOH000000000002346,2346,CAVITE CITY HEALTH OFFICE, , , ,Rural Health Unit,Government,Local Government Unit, ,"JUDGE IBANEZ STREET, SAMONTE PARK", ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,CAVITE CITY,42105000, , ,4100.0,+63 464310752, ,+63 464311655, , , ,TERRADO,LOIDA,C.,City Health Officer,,,,120.8971746,14.4792795,ROOFTOP
DOH000000000002399,2399,KAWIT RURAL HEALTH UNIT I, , , ,Rural Health Unit,Government,Local Government Unit, , , ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,KAWIT,42111000,TABON I,042111010,4104.0,+63 464847515, , ,tabonrhu@yahoo.com, , ,FIGUEROA,EDGARDO,R.,Municipal Health Officer,,,,120.903832,14.441798,GEOMETRIC_CENTER
DOH000000000002504,2504,KAWIT RURAL HEALTH UNIT II, , , ,Rural Health Unit,Government,Local Government Unit, , , ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,KAWIT,42111000,BINAKAYAN-APLAYA,042111015,4104.0,+63 464341452, , ,kawitrhu2@yahoo.com, , ,SANTOS,JO ANN ROSE,C.,Rural Health Physician,,,,120.903832,14.441798,GEOMETRIC_CENTER
DOH000000000002781,2781,TRECE MARTIREZ CITY HEALTH OFFICE, , , ,Rural Health Unit,Government,Local Government Unit, , , ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,TRECE MARTIRES CITY (Capital),42122000,SAN AGUSTIN (POB.),042122006,4109.0,+63 464192425, ,+63 464190091,cho_trececavite@yahoo.com, , ,PEREÑA-PAGGAO,MARINA,R.,City Health Officer,,,,120.8696679,14.2813252,GEOMETRIC_CENTER
