index,geometry,road_distance
0,POINT (121.2918418572876 15.73346241524357),
2,POINT (121.2918418572876 15.7536309832022),
3,POINT (121.2918418572876 15.76371526718151),
4,POINT (121.2918418572876 15.77379955116082),
5,POINT (121.301960692114 15.71329384728494),
6,POINT (121.301960692114 15.72337813126425),
9,POINT (121.301960692114 15.7536309832022),
10,POINT (121.301960692114 15.76371526718151),
11,POINT (121.301960692114 15.77379955116082),
12,POINT (121.301960692114 15.78388383514014),
13,POINT (121.3120795269404 15.18891108036061),
14,POINT (121.3120795269404 15.19899536433993),
15,POINT (121.3120795269404 15.683040995347),
16,POINT (121.3120795269404 15.69312527932631),
17,POINT (121.3120795269404 15.70320956330563),
18,POINT (121.3120795269404 15.71329384728494),
22,POINT (121.3120795269404 15.7536309832022),
23,POINT (121.3120795269404 15.76371526718151),
24,POINT (121.3120795269404 15.77379955116082),
25,POINT (121.3120795269404 15.78388383514014),0.02623567744369445
26,POINT (121.3221983617668 15.09815252454679),
27,POINT (121.3221983617668 15.1082368085261),
28,POINT (121.3221983617668 15.11832109250541),
29,POINT (121.3221983617668 15.12840537648473),
30,POINT (121.3221983617668 15.13848966046404),
31,POINT (121.3221983617668 15.14857394444336),
32,POINT (121.3221983617668 15.15865822842267),
33,POINT (121.3221983617668 15.16874251240198),
34,POINT (121.3221983617668 15.1788267963813),
35,POINT (121.3221983617668 15.18891108036061),
36,POINT (121.3221983617668 15.19899536433993),
37,POINT (121.3221983617668 15.20907964831924),
38,POINT (121.3221983617668 15.21916393229855),
39,POINT (121.3221983617668 15.22924821627787),
40,POINT (121.3221983617668 15.65278814340906),
41,POINT (121.3221983617668 15.66287242738837),
42,POINT (121.3221983617668 15.67295671136768),
43,POINT (121.3221983617668 15.683040995347),
44,POINT (121.3221983617668 15.69312527932631),
45,POINT (121.3221983617668 15.70320956330563),
48,POINT (121.3221983617668 15.73346241524357),
49,POINT (121.3221983617668 15.74354669922288),
50,POINT (121.3221983617668 15.7536309832022),
51,POINT (121.3221983617668 15.76371526718151),
52,POINT (121.3221983617668 15.77379955116082),
53,POINT (121.3221983617668 15.78388383514014),
54,POINT (121.3221983617668 15.79396811911945),
55,POINT (121.3323171965932 15.05781538862953),
56,POINT (121.3323171965932 15.06789967260884),
57,POINT (121.3323171965932 15.07798395658816),
58,POINT (121.3323171965932 15.08806824056747),
59,POINT (121.3323171965932 15.09815252454679),
60,POINT (121.3323171965932 15.1082368085261),
61,POINT (121.3323171965932 15.11832109250541),
62,POINT (121.3323171965932 15.12840537648473),
63,POINT (121.3323171965932 15.13848966046404),
64,POINT (121.3323171965932 15.14857394444336),
65,POINT (121.3323171965932 15.15865822842267),
66,POINT (121.3323171965932 15.16874251240198),
67,POINT (121.3323171965932 15.1788267963813),
68,POINT (121.3323171965932 15.18891108036061),
69,POINT (121.3323171965932 15.19899536433993),
70,POINT (121.3323171965932 15.20907964831924),
71,POINT (121.3323171965932 15.21916393229855),
72,POINT (121.3323171965932 15.22924821627787),
73,POINT (121.3323171965932 15.23933250025718),
74,POINT (121.3323171965932 15.2494167842365),
75,POINT (121.3323171965932 15.25950106821581),
76,POINT (121.3323171965932 15.26958535219512),
77,POINT (121.3323171965932 15.27966963617444),
78,POINT (121.3323171965932 15.62253529147111),
79,POINT (121.3323171965932 15.63261957545043),
80,POINT (121.3323171965932 15.64270385942974),
81,POINT (121.3323171965932 15.65278814340906),
82,POINT (121.3323171965932 15.66287242738837),
83,POINT (121.3323171965932 15.67295671136768),
84,POINT (121.3323171965932 15.683040995347),0.01379855565261415
85,POINT (121.3323171965932 15.69312527932631),
88,POINT (121.3323171965932 15.72337813126425),
89,POINT (121.3323171965932 15.73346241524357),
90,POINT (121.3323171965932 15.74354669922288),
91,POINT (121.3323171965932 15.7536309832022),
92,POINT (121.3323171965932 15.76371526718151),
93,POINT (121.3323171965932 15.77379955116082),
94,POINT (121.3323171965932 15.78388383514014),
95,POINT (121.3323171965932 15.79396811911945),
96,POINT (121.3323171965932 15.80405240309877),
97,POINT (121.3424360314196 15.00739396873296),
98,POINT (121.3424360314196 15.01747825271227),
99,POINT (121.3424360314196 15.02756253669159),
100,POINT (121.3424360314196 15.04773110465022),
101,POINT (121.3424360314196 15.05781538862953),
102,POINT (121.3424360314196 15.06789967260884),
103,POINT (121.3424360314196 15.07798395658816),
104,POINT (121.3424360314196 15.08806824056747),
105,POINT (121.3424360314196 15.09815252454679),
106,POINT (121.3424360314196 15.1082368085261),
107,POINT (121.3424360314196 15.11832109250541),
108,POINT (121.3424360314196 15.12840537648473),
109,POINT (121.3424360314196 15.13848966046404),
110,POINT (121.3424360314196 15.14857394444336),
111,POINT (121.3424360314196 15.15865822842267),
112,POINT (121.3424360314196 15.16874251240198),
113,POINT (121.3424360314196 15.1788267963813),
114,POINT (121.3424360314196 15.18891108036061),
115,POINT (121.3424360314196 15.19899536433993),
116,POINT (121.3424360314196 15.20907964831924),
117,POINT (121.3424360314196 15.21916393229855),
118,POINT (121.3424360314196 15.22924821627787),
119,POINT (121.3424360314196 15.23933250025718),
120,POINT (121.3424360314196 15.2494167842365),
121,POINT (121.3424360314196 15.25950106821581),
122,POINT (121.3424360314196 15.26958535219512),
123,POINT (121.3424360314196 15.27966963617444),
124,POINT (121.3424360314196 15.28975392015375),
125,POINT (121.3424360314196 15.29983820413307),
126,POINT (121.3424360314196 15.30992248811238),
127,POINT (121.3424360314196 15.32000677209169),
128,POINT (121.3424360314196 15.33009105607101),
129,POINT (121.3424360314196 15.59228243953317),
130,POINT (121.3424360314196 15.60236672351249),
131,POINT (121.3424360314196 15.6124510074918),
132,POINT (121.3424360314196 15.62253529147111),
133,POINT (121.3424360314196 15.63261957545043),
134,POINT (121.3424360314196 15.64270385942974),
135,POINT (121.3424360314196 15.65278814340906),
136,POINT (121.3424360314196 15.66287242738837),
137,POINT (121.3424360314196 15.67295671136768),
138,POINT (121.3424360314196 15.683040995347),
146,POINT (121.3424360314196 15.76371526718151),
147,POINT (121.3424360314196 15.77379955116082),
148,POINT (121.3424360314196 15.78388383514014),
152,POINT (121.352554866246 15.06789967260884),
153,POINT (121.352554866246 15.07798395658816),
154,POINT (121.352554866246 15.08806824056747),
155,POINT (121.352554866246 15.09815252454679),
156,POINT (121.352554866246 15.1082368085261),
157,POINT (121.352554866246 15.11832109250541),
158,POINT (121.352554866246 15.12840537648473),
159,POINT (121.352554866246 15.13848966046404),
160,POINT (121.352554866246 15.14857394444336),
161,POINT (121.352554866246 15.15865822842267),
162,POINT (121.352554866246 15.16874251240198),
163,POINT (121.352554866246 15.1788267963813),
164,POINT (121.352554866246 15.18891108036061),
165,POINT (121.352554866246 15.19899536433993),
166,POINT (121.352554866246 15.20907964831924),
167,POINT (121.352554866246 15.21916393229855),
168,POINT (121.352554866246 15.22924821627787),
169,POINT (121.352554866246 15.23933250025718),
170,POINT (121.352554866246 15.2494167842365),
171,POINT (121.352554866246 15.25950106821581),
172,POINT (121.352554866246 15.26958535219512),
173,POINT (121.352554866246 15.27966963617444),
174,POINT (121.352554866246 15.28975392015375),
175,POINT (121.352554866246 15.29983820413307),
176,POINT (121.352554866246 15.30992248811238),
177,POINT (121.352554866246 15.32000677209169),
178,POINT (121.352554866246 15.33009105607101),
179,POINT (121.352554866246 15.34017534005032),
180,POINT (121.352554866246 15.35025962402964),
181,POINT (121.352554866246 15.36034390800895),
182,POINT (121.352554866246 15.37042819198826),
183,POINT (121.352554866246 15.38051247596758),
184,POINT (121.352554866246 15.57211387157454),
185,POINT (121.352554866246 15.58219815555386),
186,POINT (121.352554866246 15.59228243953317),
187,POINT (121.352554866246 15.60236672351249),
188,POINT (121.352554866246 15.6124510074918),
189,POINT (121.352554866246 15.62253529147111),
190,POINT (121.352554866246 15.63261957545043),
191,POINT (121.352554866246 15.64270385942974),
192,POINT (121.352554866246 15.65278814340906),
193,POINT (121.352554866246 15.66287242738837),
194,POINT (121.352554866246 15.67295671136768),
195,POINT (121.352554866246 15.683040995347),
197,POINT (121.352554866246 15.70320956330563),
198,POINT (121.352554866246 15.71329384728494),
199,POINT (121.352554866246 15.72337813126425),
202,POINT (121.352554866246 15.7536309832022),
203,POINT (121.352554866246 15.76371526718151),
204,POINT (121.352554866246 15.77379955116082),0.00313075536374422
205,POINT (121.352554866246 15.78388383514014),
206,POINT (121.352554866246 15.79396811911945),
207,POINT (121.352554866246 15.80405240309877),
210,POINT (121.3626737010724 15.07798395658816),
211,POINT (121.3626737010724 15.08806824056747),
212,POINT (121.3626737010724 15.09815252454679),
213,POINT (121.3626737010724 15.1082368085261),
214,POINT (121.3626737010724 15.11832109250541),
215,POINT (121.3626737010724 15.12840537648473),
216,POINT (121.3626737010724 15.13848966046404),
217,POINT (121.3626737010724 15.14857394444336),
218,POINT (121.3626737010724 15.15865822842267),
219,POINT (121.3626737010724 15.16874251240198),
220,POINT (121.3626737010724 15.1788267963813),
221,POINT (121.3626737010724 15.18891108036061),
222,POINT (121.3626737010724 15.19899536433993),
223,POINT (121.3626737010724 15.20907964831924),
224,POINT (121.3626737010724 15.21916393229855),
225,POINT (121.3626737010724 15.22924821627787),
226,POINT (121.3626737010724 15.23933250025718),
227,POINT (121.3626737010724 15.2494167842365),
228,POINT (121.3626737010724 15.25950106821581),
229,POINT (121.3626737010724 15.26958535219512),
230,POINT (121.3626737010724 15.27966963617444),
231,POINT (121.3626737010724 15.28975392015375),
232,POINT (121.3626737010724 15.29983820413307),
233,POINT (121.3626737010724 15.30992248811238),
234,POINT (121.3626737010724 15.32000677209169),
235,POINT (121.3626737010724 15.33009105607101),
236,POINT (121.3626737010724 15.34017534005032),
237,POINT (121.3626737010724 15.35025962402964),
238,POINT (121.3626737010724 15.36034390800895),
239,POINT (121.3626737010724 15.37042819198826),
240,POINT (121.3626737010724 15.38051247596758),
241,POINT (121.3626737010724 15.39059675994689),
242,POINT (121.3626737010724 15.40068104392621),
243,POINT (121.3626737010724 15.41076532790552),
244,POINT (121.3626737010724 15.5418610196366),
245,POINT (121.3626737010724 15.55194530361592),
246,POINT (121.3626737010724 15.56202958759523),
247,POINT (121.3626737010724 15.57211387157454),
248,POINT (121.3626737010724 15.58219815555386),
249,POINT (121.3626737010724 15.59228243953317),
250,POINT (121.3626737010724 15.60236672351249),
251,POINT (121.3626737010724 15.6124510074918),
252,POINT (121.3626737010724 15.62253529147111),
253,POINT (121.3626737010724 15.63261957545043),
254,POINT (121.3626737010724 15.64270385942974),
255,POINT (121.3626737010724 15.65278814340906),
256,POINT (121.3626737010724 15.66287242738837),
257,POINT (121.3626737010724 15.67295671136768),
259,POINT (121.3626737010724 15.69312527932631),
260,POINT (121.3626737010724 15.70320956330563),
261,POINT (121.3626737010724 15.71329384728494),
262,POINT (121.3626737010724 15.72337813126425),
263,POINT (121.3626737010724 15.73346241524357),
264,POINT (121.3626737010724 15.74354669922288),
265,POINT (121.3626737010724 15.7536309832022),
266,POINT (121.3626737010724 15.76371526718151),
268,POINT (121.3626737010724 15.78388383514014),
269,POINT (121.3626737010724 15.79396811911945),
270,POINT (121.3626737010724 15.80405240309877),
273,POINT (121.3727925358988 15.09815252454679),
274,POINT (121.3727925358988 15.1082368085261),
275,POINT (121.3727925358988 15.11832109250541),
276,POINT (121.3727925358988 15.12840537648473),
277,POINT (121.3727925358988 15.13848966046404),
278,POINT (121.3727925358988 15.14857394444336),
279,POINT (121.3727925358988 15.15865822842267),
280,POINT (121.3727925358988 15.16874251240198),
281,POINT (121.3727925358988 15.1788267963813),
282,POINT (121.3727925358988 15.18891108036061),
