system:index,Grid_ID,mean,.geo
00000000000000000000,957,20.940517132980858,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.622727278362808],[121.29541361424158,14.622727301722325],[121.29541361424158,14.62723179641679],[121.29090913151374,14.627231779271801],[121.29090913151374,14.622727278362808]]]}"
00000000000000000001,958,20.825895296780903,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.62727275294399],[121.29541361424158,14.62727268980642],[121.29541361424158,14.631777190035352],[121.29090913151374,14.631777259376333],[121.29090913151374,14.62727275294399]]]}"
00000000000000000002,959,20.687127668106342,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.631818155733416],[121.29541361424158,14.631818163700936],[121.29541361424158,14.636322669361556],[121.29090913151374,14.636322667580668],[121.29090913151374,14.631818155733416]]]}"
00000000000000000003,960,20.74189737943024,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.636363644218546],[121.29541361424158,14.63636364450959],[121.29541361424158,14.64086815549628],[121.29090913151374,14.64086816137793],[121.29090913151374,14.636363644218546]]]}"
00000000000000000004,961,20.41460577975253,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.64090906069329],[121.29541361424158,14.64090905332469],[121.29541361424158,14.645413569529033],[121.29090913151374,14.64541358305638],[121.29090913151374,14.64090906069329]]]}"
00000000000000000005,962,20.44008175731652,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.64545456265652],[121.29541361424158,14.645454547639376],[121.29541361424158,14.649959068958607],[121.29090913151374,14.64995901131079],[121.29090913151374,14.64545456265652]]]}"
00000000000000000006,963,20.289114088298636,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.649999992390757],[121.29541361424158,14.649999969741913],[121.29541361424158,14.65450449606762],[121.29090913151374,14.654504524847324],[121.29090913151374,14.649999992390757]]]}"
00000000000000000007,964,20.312156515513852,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.654545428593668],[121.29541361424158,14.654545477136844],[121.29541361424158,14.659049929553694],[121.29090913151374,14.659049965937195],[121.29090913151374,14.654545428593668]]]}"
00000000000000000008,965,19.832016030666797,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.659090871158812],[121.29541361424158,14.659090912101059],[121.29541361424158,14.663595448125827],[121.29090913151374,14.663595413283742],[121.29090913151374,14.659090871158812]]]}"
00000000000000000009,966,19.918443692227733,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.663636319979775],[121.29541361424158,14.663636353335054],[121.29541361424158,14.668140894049602],[121.29090913151374,14.66814086678054],[121.29090913151374,14.663636319979775]]]}"
0000000000000000000a,967,19.647284559180218,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.668181774950147],[121.29541361424158,14.668181800732413],[121.29541361424158,14.672686346031188],[121.29090913151374,14.6726863263212],[121.29090913151374,14.668181774950147]]]}"
0000000000000000000b,968,19.4576973385383,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.672727235963514],[121.29541361424158,14.672727254186741],[121.29541361424158,14.677231803964203],[121.29090913151374,14.677231791799318],[121.29090913151374,14.672727235963514]]]}"
0000000000000000000c,969,19.32332752933103,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.67727270291349],[121.29541361424158,14.677272713591625],[121.29541361424158,14.681777267742245],[121.29090913151374,14.681777263108504],[121.29090913151374,14.67727270291349]]]}"
0000000000000000000d,970,19.322058925139146,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.681818175693673],[121.29541361424158,14.681818178840688],[121.29541361424158,14.686322658429328],[121.29090913151374,14.686322661309912],[121.29090913151374,14.681818175693673]]]}"
0000000000000000000e,971,19.292950819672164,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.686363654197692],[121.29541361424158,14.686363649827543],[121.29541361424158,14.690868133575462],[121.29090913151374,14.690868143959273],[121.29090913151374,14.686363654197692]]]}"
