Polygon,Grid_ID
"POLYGON ((121.1090909090909 14.63181818181818, 121.1135954135954 14.63181818181818, 121.1135954135954 14.63632268632269, 121.1090909090909 14.63632268632269, 121.1090909090909 14.63181818181818))",1
"POLYGON ((121.1136363636364 14.62727272727273, 121.1181408681409 14.62727272727273, 121.1181408681409 14.63177723177723, 121.1136363636364 14.63177723177723, 121.1136363636364 14.62727272727273))",2
"POLYGON ((121.1136363636364 14.63181818181818, 121.1181408681409 14.63181818181818, 121.1181408681409 14.63632268632269, 121.1136363636364 14.63632268632269, 121.1136363636364 14.63181818181818))",3
"POLYGON ((121.1181818181818 14.61818181818182, 121.1226863226863 14.61818181818182, 121.1226863226863 14.62268632268632, 121.1181818181818 14.62268632268632, 121.1181818181818 14.61818181818182))",4
"POLYGON ((121.1181818181818 14.62272727272727, 121.1226863226863 14.62272727272727, 121.1226863226863 14.62723177723178, 121.1181818181818 14.62723177723178, 121.1181818181818 14.62272727272727))",5
"POLYGON ((121.1181818181818 14.62727272727273, 121.1226863226863 14.62727272727273, 121.1226863226863 14.63177723177723, 121.1181818181818 14.63177723177723, 121.1181818181818 14.62727272727273))",6
"POLYGON ((121.1181818181818 14.63181818181818, 121.1226863226863 14.63181818181818, 121.1226863226863 14.63632268632269, 121.1181818181818 14.63632268632269, 121.1181818181818 14.63181818181818))",7
"POLYGON ((121.1181818181818 14.63636363636364, 121.1226863226863 14.63636363636364, 121.1226863226863 14.64086814086814, 121.1181818181818 14.64086814086814, 121.1181818181818 14.63636363636364))",8
"POLYGON ((121.1227272727273 14.61363636363636, 121.1272317772318 14.61363636363636, 121.1272317772318 14.61814086814087, 121.1227272727273 14.61814086814087, 121.1227272727273 14.61363636363636))",9
"POLYGON ((121.1227272727273 14.61818181818182, 121.1272317772318 14.61818181818182, 121.1272317772318 14.62268632268632, 121.1227272727273 14.62268632268632, 121.1227272727273 14.61818181818182))",10
"POLYGON ((121.1227272727273 14.62272727272727, 121.1272317772318 14.62272727272727, 121.1272317772318 14.62723177723178, 121.1227272727273 14.62723177723178, 121.1227272727273 14.62272727272727))",11
"POLYGON ((121.1227272727273 14.62727272727273, 121.1272317772318 14.62727272727273, 121.1272317772318 14.63177723177723, 121.1227272727273 14.63177723177723, 121.1227272727273 14.62727272727273))",12
"POLYGON ((121.1227272727273 14.63181818181818, 121.1272317772318 14.63181818181818, 121.1272317772318 14.63632268632269, 121.1227272727273 14.63632268632269, 121.1227272727273 14.63181818181818))",13
"POLYGON ((121.1272727272727 14.60909090909091, 121.1317772317772 14.60909090909091, 121.1317772317772 14.61359541359541, 121.1272727272727 14.61359541359541, 121.1272727272727 14.60909090909091))",14
"POLYGON ((121.1272727272727 14.61363636363636, 121.1317772317772 14.61363636363636, 121.1317772317772 14.61814086814087, 121.1272727272727 14.61814086814087, 121.1272727272727 14.61363636363636))",15
"POLYGON ((121.1272727272727 14.61818181818182, 121.1317772317772 14.61818181818182, 121.1317772317772 14.62268632268632, 121.1272727272727 14.62268632268632, 121.1272727272727 14.61818181818182))",16
"POLYGON ((121.1272727272727 14.62272727272727, 121.1317772317772 14.62272727272727, 121.1317772317772 14.62723177723178, 121.1272727272727 14.62723177723178, 121.1272727272727 14.62272727272727))",17
"POLYGON ((121.1272727272727 14.62727272727273, 121.1317772317772 14.62727272727273, 121.1317772317772 14.63177723177723, 121.1272727272727 14.63177723177723, 121.1272727272727 14.62727272727273))",18
"POLYGON ((121.1272727272727 14.63181818181818, 121.1317772317772 14.63181818181818, 121.1317772317772 14.63632268632269, 121.1272727272727 14.63632268632269, 121.1272727272727 14.63181818181818))",19
"POLYGON ((121.1272727272727 14.63636363636364, 121.1317772317772 14.63636363636364, 121.1317772317772 14.64086814086814, 121.1272727272727 14.64086814086814, 121.1272727272727 14.63636363636364))",20
"POLYGON ((121.1272727272727 14.64090909090909, 121.1317772317772 14.64090909090909, 121.1317772317772 14.6454135954136, 121.1272727272727 14.6454135954136, 121.1272727272727 14.64090909090909))",21
"POLYGON ((121.1272727272727 14.64545454545455, 121.1317772317772 14.64545454545455, 121.1317772317772 14.64995904995905, 121.1272727272727 14.64995904995905, 121.1272727272727 14.64545454545455))",22
"POLYGON ((121.1318181818182 14.60454545454546, 121.1363226863227 14.60454545454546, 121.1363226863227 14.60904995904996, 121.1318181818182 14.60904995904996, 121.1318181818182 14.60454545454546))",23
"POLYGON ((121.1318181818182 14.60909090909091, 121.1363226863227 14.60909090909091, 121.1363226863227 14.61359541359541, 121.1318181818182 14.61359541359541, 121.1318181818182 14.60909090909091))",24
"POLYGON ((121.1318181818182 14.61363636363636, 121.1363226863227 14.61363636363636, 121.1363226863227 14.61814086814087, 121.1318181818182 14.61814086814087, 121.1318181818182 14.61363636363636))",25
"POLYGON ((121.1318181818182 14.61818181818182, 121.1363226863227 14.61818181818182, 121.1363226863227 14.62268632268632, 121.1318181818182 14.62268632268632, 121.1318181818182 14.61818181818182))",26
"POLYGON ((121.1318181818182 14.62272727272727, 121.1363226863227 14.62272727272727, 121.1363226863227 14.62723177723178, 121.1318181818182 14.62723177723178, 121.1318181818182 14.62272727272727))",27
"POLYGON ((121.1318181818182 14.62727272727273, 121.1363226863227 14.62727272727273, 121.1363226863227 14.63177723177723, 121.1318181818182 14.63177723177723, 121.1318181818182 14.62727272727273))",28
"POLYGON ((121.1318181818182 14.63181818181818, 121.1363226863227 14.63181818181818, 121.1363226863227 14.63632268632269, 121.1318181818182 14.63632268632269, 121.1318181818182 14.63181818181818))",29
"POLYGON ((121.1318181818182 14.63636363636364, 121.1363226863227 14.63636363636364, 121.1363226863227 14.64086814086814, 121.1318181818182 14.64086814086814, 121.1318181818182 14.63636363636364))",30
"POLYGON ((121.1318181818182 14.64090909090909, 121.1363226863227 14.64090909090909, 121.1363226863227 14.6454135954136, 121.1318181818182 14.6454135954136, 121.1318181818182 14.64090909090909))",31
"POLYGON ((121.1318181818182 14.64545454545455, 121.1363226863227 14.64545454545455, 121.1363226863227 14.64995904995905, 121.1318181818182 14.64995904995905, 121.1318181818182 14.64545454545455))",32
"POLYGON ((121.1363636363636 14.6, 121.1408681408681 14.6, 121.1408681408681 14.6045045045045, 121.1363636363636 14.6045045045045, 121.1363636363636 14.6))",33
"POLYGON ((121.1363636363636 14.60454545454546, 121.1408681408681 14.60454545454546, 121.1408681408681 14.60904995904996, 121.1363636363636 14.60904995904996, 121.1363636363636 14.60454545454546))",34
"POLYGON ((121.1363636363636 14.60909090909091, 121.1408681408681 14.60909090909091, 121.1408681408681 14.61359541359541, 121.1363636363636 14.61359541359541, 121.1363636363636 14.60909090909091))",35
"POLYGON ((121.1363636363636 14.61363636363636, 121.1408681408681 14.61363636363636, 121.1408681408681 14.61814086814087, 121.1363636363636 14.61814086814087, 121.1363636363636 14.61363636363636))",36
"POLYGON ((121.1363636363636 14.61818181818182, 121.1408681408681 14.61818181818182, 121.1408681408681 14.62268632268632, 121.1363636363636 14.62268632268632, 121.1363636363636 14.61818181818182))",37
"POLYGON ((121.1363636363636 14.62272727272727, 121.1408681408681 14.62272727272727, 121.1408681408681 14.62723177723178, 121.1363636363636 14.62723177723178, 121.1363636363636 14.62272727272727))",38
"POLYGON ((121.1363636363636 14.62727272727273, 121.1408681408681 14.62727272727273, 121.1408681408681 14.63177723177723, 121.1363636363636 14.63177723177723, 121.1363636363636 14.62727272727273))",39
"POLYGON ((121.1363636363636 14.63181818181818, 121.1408681408681 14.63181818181818, 121.1408681408681 14.63632268632269, 121.1363636363636 14.63632268632269, 121.1363636363636 14.63181818181818))",40
"POLYGON ((121.1363636363636 14.63636363636364, 121.1408681408681 14.63636363636364, 121.1408681408681 14.64086814086814, 121.1363636363636 14.64086814086814, 121.1363636363636 14.63636363636364))",41
"POLYGON ((121.1363636363636 14.64090909090909, 121.1408681408681 14.64090909090909, 121.1408681408681 14.6454135954136, 121.1363636363636 14.6454135954136, 121.1363636363636 14.64090909090909))",42
"POLYGON ((121.1363636363636 14.64545454545455, 121.1408681408681 14.64545454545455, 121.1408681408681 14.64995904995905, 121.1363636363636 14.64995904995905, 121.1363636363636 14.64545454545455))",43
"POLYGON ((121.1409090909091 14.59545454545455, 121.1454135954136 14.59545454545455, 121.1454135954136 14.59995904995905, 121.1409090909091 14.59995904995905, 121.1409090909091 14.59545454545455))",44
"POLYGON ((121.1409090909091 14.6, 121.1454135954136 14.6, 121.1454135954136 14.6045045045045, 121.1409090909091 14.6045045045045, 121.1409090909091 14.6))",45
"POLYGON ((121.1409090909091 14.60454545454546, 121.1454135954136 14.60454545454546, 121.1454135954136 14.60904995904996, 121.1409090909091 14.60904995904996, 121.1409090909091 14.60454545454546))",46
"POLYGON ((121.1409090909091 14.60909090909091, 121.1454135954136 14.60909090909091, 121.1454135954136 14.61359541359541, 121.1409090909091 14.61359541359541, 121.1409090909091 14.60909090909091))",47
"POLYGON ((121.1409090909091 14.61363636363636, 121.1454135954136 14.61363636363636, 121.1454135954136 14.61814086814087, 121.1409090909091 14.61814086814087, 121.1409090909091 14.61363636363636))",48
"POLYGON ((121.1409090909091 14.61818181818182, 121.1454135954136 14.61818181818182, 121.1454135954136 14.62268632268632, 121.1409090909091 14.62268632268632, 121.1409090909091 14.61818181818182))",49
"POLYGON ((121.1409090909091 14.62272727272727, 121.1454135954136 14.62272727272727, 121.1454135954136 14.62723177723178, 121.1409090909091 14.62723177723178, 121.1409090909091 14.62272727272727))",50
"POLYGON ((121.1409090909091 14.62727272727273, 121.1454135954136 14.62727272727273, 121.1454135954136 14.63177723177723, 121.1409090909091 14.63177723177723, 121.1409090909091 14.62727272727273))",51
"POLYGON ((121.1409090909091 14.63181818181818, 121.1454135954136 14.63181818181818, 121.1454135954136 14.63632268632269, 121.1409090909091 14.63632268632269, 121.1409090909091 14.63181818181818))",52
"POLYGON ((121.1409090909091 14.63636363636364, 121.1454135954136 14.63636363636364, 121.1454135954136 14.64086814086814, 121.1409090909091 14.64086814086814, 121.1409090909091 14.63636363636364))",53
"POLYGON ((121.1409090909091 14.64090909090909, 121.1454135954136 14.64090909090909, 121.1454135954136 14.6454135954136, 121.1409090909091 14.6454135954136, 121.1409090909091 14.64090909090909))",54
"POLYGON ((121.1454545454545 14.59090909090909, 121.1499590499591 14.59090909090909, 121.1499590499591 14.5954135954136, 121.1454545454545 14.5954135954136, 121.1454545454545 14.59090909090909))",55
"POLYGON ((121.1454545454545 14.59545454545455, 121.1499590499591 14.59545454545455, 121.1499590499591 14.59995904995905, 121.1454545454545 14.59995904995905, 121.1454545454545 14.59545454545455))",56
"POLYGON ((121.1454545454545 14.6, 121.1499590499591 14.6, 121.1499590499591 14.6045045045045, 121.1454545454545 14.6045045045045, 121.1454545454545 14.6))",57
"POLYGON ((121.1454545454545 14.60454545454546, 121.1499590499591 14.60454545454546, 121.1499590499591 14.60904995904996, 121.1454545454545 14.60904995904996, 121.1454545454545 14.60454545454546))",58
"POLYGON ((121.1454545454545 14.60909090909091, 121.1499590499591 14.60909090909091, 121.1499590499591 14.61359541359541, 121.1454545454545 14.61359541359541, 121.1454545454545 14.60909090909091))",59
"POLYGON ((121.1454545454545 14.61363636363636, 121.1499590499591 14.61363636363636, 121.1499590499591 14.61814086814087, 121.1454545454545 14.61814086814087, 121.1454545454545 14.61363636363636))",60
"POLYGON ((121.1454545454545 14.61818181818182, 121.1499590499591 14.61818181818182, 121.1499590499591 14.62268632268632, 121.1454545454545 14.62268632268632, 121.1454545454545 14.61818181818182))",61
"POLYGON ((121.1454545454545 14.62272727272727, 121.1499590499591 14.62272727272727, 121.1499590499591 14.62723177723178, 121.1454545454545 14.62723177723178, 121.1454545454545 14.62272727272727))",62
"POLYGON ((121.1454545454545 14.62727272727273, 121.1499590499591 14.62727272727273, 121.1499590499591 14.63177723177723, 121.1454545454545 14.63177723177723, 121.1454545454545 14.62727272727273))",63
"POLYGON ((121.1454545454545 14.63181818181818, 121.1499590499591 14.63181818181818, 121.1499590499591 14.63632268632269, 121.1454545454545 14.63632268632269, 121.1454545454545 14.63181818181818))",64
"POLYGON ((121.1454545454545 14.63636363636364, 121.1499590499591 14.63636363636364, 121.1499590499591 14.64086814086814, 121.1454545454545 14.64086814086814, 121.1454545454545 14.63636363636364))",65
"POLYGON ((121.1454545454545 14.64090909090909, 121.1499590499591 14.64090909090909, 121.1499590499591 14.6454135954136, 121.1454545454545 14.6454135954136, 121.1454545454545 14.64090909090909))",66
"POLYGON ((121.1454545454545 14.64545454545455, 121.1499590499591 14.64545454545455, 121.1499590499591 14.64995904995905, 121.1454545454545 14.64995904995905, 121.1454545454545 14.64545454545455))",67
"POLYGON ((121.15 14.58636363636364, 121.1545045045045 14.58636363636364, 121.1545045045045 14.59086814086814, 121.15 14.59086814086814, 121.15 14.58636363636364))",68
"POLYGON ((121.15 14.59090909090909, 121.1545045045045 14.59090909090909, 121.1545045045045 14.5954135954136, 121.15 14.5954135954136, 121.15 14.59090909090909))",69
"POLYGON ((121.15 14.59545454545455, 121.1545045045045 14.59545454545455, 121.1545045045045 14.59995904995905, 121.15 14.59995904995905, 121.15 14.59545454545455))",70
"POLYGON ((121.15 14.6, 121.1545045045045 14.6, 121.1545045045045 14.6045045045045, 121.15 14.6045045045045, 121.15 14.6))",71
"POLYGON ((121.15 14.60454545454546, 121.1545045045045 14.60454545454546, 121.1545045045045 14.60904995904996, 121.15 14.60904995904996, 121.15 14.60454545454546))",72
"POLYGON ((121.15 14.60909090909091, 121.1545045045045 14.60909090909091, 121.1545045045045 14.61359541359541, 121.15 14.61359541359541, 121.15 14.60909090909091))",73
"POLYGON ((121.15 14.61363636363636, 121.1545045045045 14.61363636363636, 121.1545045045045 14.61814086814087, 121.15 14.61814086814087, 121.15 14.61363636363636))",74
"POLYGON ((121.15 14.61818181818182, 121.1545045045045 14.61818181818182, 121.1545045045045 14.62268632268632, 121.15 14.62268632268632, 121.15 14.61818181818182))",75
"POLYGON ((121.15 14.62272727272727, 121.1545045045045 14.62272727272727, 121.1545045045045 14.62723177723178, 121.15 14.62723177723178, 121.15 14.62272727272727))",76
"POLYGON ((121.15 14.62727272727273, 121.1545045045045 14.62727272727273, 121.1545045045045 14.63177723177723, 121.15 14.63177723177723, 121.15 14.62727272727273))",77
"POLYGON ((121.15 14.63181818181818, 121.1545045045045 14.63181818181818, 121.1545045045045 14.63632268632269, 121.15 14.63632268632269, 121.15 14.63181818181818))",78
"POLYGON ((121.15 14.63636363636364, 121.1545045045045 14.63636363636364, 121.1545045045045 14.64086814086814, 121.15 14.64086814086814, 121.15 14.63636363636364))",79
"POLYGON ((121.15 14.64090909090909, 121.1545045045045 14.64090909090909, 121.1545045045045 14.6454135954136, 121.15 14.6454135954136, 121.15 14.64090909090909))",80
"POLYGON ((121.15 14.64545454545455, 121.1545045045045 14.64545454545455, 121.1545045045045 14.64995904995905, 121.15 14.64995904995905, 121.15 14.64545454545455))",81
"POLYGON ((121.1545454545455 14.58181818181818, 121.15904995905 14.58181818181818, 121.15904995905 14.58632268632269, 121.1545454545455 14.58632268632269, 121.1545454545455 14.58181818181818))",82
"POLYGON ((121.1545454545455 14.58636363636364, 121.15904995905 14.58636363636364, 121.15904995905 14.59086814086814, 121.1545454545455 14.59086814086814, 121.1545454545455 14.58636363636364))",83
"POLYGON ((121.1545454545455 14.59090909090909, 121.15904995905 14.59090909090909, 121.15904995905 14.5954135954136, 121.1545454545455 14.5954135954136, 121.1545454545455 14.59090909090909))",84
"POLYGON ((121.1545454545455 14.59545454545455, 121.15904995905 14.59545454545455, 121.15904995905 14.59995904995905, 121.1545454545455 14.59995904995905, 121.1545454545455 14.59545454545455))",85
"POLYGON ((121.1545454545455 14.6, 121.15904995905 14.6, 121.15904995905 14.6045045045045, 121.1545454545455 14.6045045045045, 121.1545454545455 14.6))",86
"POLYGON ((121.1545454545455 14.60454545454546, 121.15904995905 14.60454545454546, 121.15904995905 14.60904995904996, 121.1545454545455 14.60904995904996, 121.1545454545455 14.60454545454546))",87
"POLYGON ((121.1545454545455 14.60909090909091, 121.15904995905 14.60909090909091, 121.15904995905 14.61359541359541, 121.1545454545455 14.61359541359541, 121.1545454545455 14.60909090909091))",88
"POLYGON ((121.1545454545455 14.61363636363636, 121.15904995905 14.61363636363636, 121.15904995905 14.61814086814087, 121.1545454545455 14.61814086814087, 121.1545454545455 14.61363636363636))",89
"POLYGON ((121.1545454545455 14.61818181818182, 121.15904995905 14.61818181818182, 121.15904995905 14.62268632268632, 121.1545454545455 14.62268632268632, 121.1545454545455 14.61818181818182))",90
"POLYGON ((121.1545454545455 14.62272727272727, 121.15904995905 14.62272727272727, 121.15904995905 14.62723177723178, 121.1545454545455 14.62723177723178, 121.1545454545455 14.62272727272727))",91
"POLYGON ((121.1545454545455 14.62727272727273, 121.15904995905 14.62727272727273, 121.15904995905 14.63177723177723, 121.1545454545455 14.63177723177723, 121.1545454545455 14.62727272727273))",92
"POLYGON ((121.1545454545455 14.63181818181818, 121.15904995905 14.63181818181818, 121.15904995905 14.63632268632269, 121.1545454545455 14.63632268632269, 121.1545454545455 14.63181818181818))",93
"POLYGON ((121.1545454545455 14.63636363636364, 121.15904995905 14.63636363636364, 121.15904995905 14.64086814086814, 121.1545454545455 14.64086814086814, 121.1545454545455 14.63636363636364))",94
"POLYGON ((121.1545454545455 14.64090909090909, 121.15904995905 14.64090909090909, 121.15904995905 14.6454135954136, 121.1545454545455 14.6454135954136, 121.1545454545455 14.64090909090909))",95
"POLYGON ((121.1545454545455 14.64545454545455, 121.15904995905 14.64545454545455, 121.15904995905 14.64995904995905, 121.1545454545455 14.64995904995905, 121.1545454545455 14.64545454545455))",96
"POLYGON ((121.1545454545455 14.65, 121.15904995905 14.65, 121.15904995905 14.65450450450451, 121.1545454545455 14.65450450450451, 121.1545454545455 14.65))",97
"POLYGON ((121.1590909090909 14.57727272727273, 121.1635954135954 14.57727272727273, 121.1635954135954 14.58177723177723, 121.1590909090909 14.58177723177723, 121.1590909090909 14.57727272727273))",98
