Date and Time Downloaded : 01/01/2021 11:34:35 pm"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000000011","11","DILASAG RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","SANTIAGO STREET","","REGION III (CENTRAL LUZON)","030000000","AURORA","037700000","DILASAG","037703000","MASAGANA (POB.)","037703009","3205","","","","","","","MAALIW","APRIL JOY","BAUTISTA","Municipal Health Officer","","",""
"DOH000000000000030","30","SANTA RITA RURAL HEALTH CENTER","","","","Rural Health Unit","Government","Local Government Unit","","SANTA RITA ROAD","","REGION III (CENTRAL LUZON)","030000000","ZAMBALES","037100000","OLONGAPO CITY","037107000","SANTA RITA","037107018","2200","","","","ochdept@yahoo.com","olongapochd@gmail.com","","INTERINO","ALLAN","ESPINA","Rural Health Physician","","",""
"DOH000000000000031","31","GUAGUA RURAL HEALTH UNIT I"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","IMMACON STREET, PUROK 1","PATERNO P. MAGCALAS BUILDING","REGION III (CENTRAL LUZON)","030000000","PAMPANGA","035400000","GUAGUA","035407000","SANTO NIÑO (POB.)","035407033","2003","+63 454580560"," "," "," "," "," ","CALILONG","MA. ISABEL","LAGMAN","Municipal Health Officer","","",""
"DOH000000000000049","49","PURA RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION III (CENTRAL LUZON)","030000000","TARLAC","036900000","PURA","036911000","POBLACION 2","036911013","2312","+63 459300495"," ","+63 459300495"," "," "," ","DIZON","ROEDEL"," ","Municipal Health Officer","","",""
"DOH000000000000092","92","CANDABA RURAL HEALTH UNIT I"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION III (CENTRAL LUZON)","030000000","PAMPANGA","035400000","CANDABA","035405000","PARALAYA (POB.)","035405023","2013"," "," "," "," "," "," ","MANIMBO","PRIMATIVA","CLEMENTE","Municipal Health Officer","","",""
"DOH000000000000099","99","SAN CLEMENTE RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","ROMULO HIGHWAY","","REGION III (CENTRAL LUZON)","030000000","TARLAC","036900000","SAN CLEMENTE","036913000","","","2305","+63 459343475","","","sanclementerhu@yahoo.com.ph","elvielopez2058@yahoo.com","","LOPEZ","ELVIRA","CASCO","Municipal Health Officer","","",""
"DOH000000000000120","120","NEW BANICAIN HEALTH CENTER","","","","Rural Health Unit","Government","Local Government Unit","","LUNA STREET","","REGION III (CENTRAL LUZON)","030000000","ZAMBALES","037100000","OLONGAPO CITY","037107000","BANICAIN","037107002","2200","+63 476110382","","","tetelestai@gmx.com","ochdept@yahoo.com.ph","","D'ASIS","MA. REGINA PIA","","Rural Health Physician","","",""
"DOH000000000000128","128","MACABEBE RURAL HEALTH UNIT II"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","PUROK BANTAYAN"," ","REGION III (CENTRAL LUZON)","030000000","PAMPANGA","035400000","MACABEBE","035410000","SAN RAFAEL","035410014","2018","+63 454353826"," "," "," "," "," ","SUNGA","MA. AGATA","MIRANDA","Municipal Health Officer","","",""
"DOH000000000000151","151","SAN NICOLAS MAIN HEALTH CENTER (RURAL HEALTH UNIT III)","CITY OF SAN FERNANDO (CAPITAL) RURAL HEALTH UNIT III"," "," ","Rural Health Unit","Government","Local Government Unit"," ","BULUSAN STREET, CENTRO"," ","REGION III (CENTRAL LUZON)","030000000","PAMPANGA","035400000","CITY OF SAN FERNANDO (Capital)","035416000","SAN NICOLAS","035416030","2000","+63 454361412"," "," "," "," "," ","MANARANG","ELMA","N.","Rural Health Physician","","",""
"DOH000000000000152","152","SANTA CRUZ RURAL HEALTH UNIT II","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION III (CENTRAL LUZON)","030000000","ZAMBALES","037100000","SANTA CRUZ","037113000","BAYTO","037113004","2213","","","","","","","MANTES","RAOUL JR.","MISAL","Rural Health Midwife","","",""
