Date and Time Downloaded : 12/30/2020 03:18:14 pm"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000000005","5","BAGONG POOK DIST. III HEALTH CENTER","DEL REMEDIO HEALTH CENTER","","","Rural Health Unit","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","LUCENA CITY (Capital)","045624000","","","4301","","","","","","","","","","","","",""
"DOH000000000000050","50","PAKIL RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","GONZALES STREET"," ","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","PAKIL","043420000","GONZALES (POB.)","043420007","4017","+63 495572233"," "," ","rhupakil_laguna@yahoo.com.ph"," "," ","ACERIMO","PRIMO JR.","C.","Municipal Health Officer","","",""
"DOH000000000000075","75","PANGIL RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","PANGIL","043421000","SAN JOSE (POB.)","043421007","4018","049 557 0282","","049 557 0282","pangilrhu@yahoo.com","","","ALCANTARA","SUSAN","ESPIRITU","Municipal Health Officer","","",""
"DOH000000000000126","126","SAN PASCUAL RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","AQUINO AVENUE"," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SAN PASCUAL","041026000","POBLACION","041026020","4204","+63 437274321"," ","+63 437272376","rhu_san pascual.batangas@yahoo.com"," "," ","CARAAN","ROSALINA","S.","Municipal Health Officer","","",""
"DOH000000000000149","149","SANTA CRUZ RURAL HEALTH UNIT I"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","GENERAL CALLIES STREET"," ","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","SANTA CRUZ (Capital)","043426000","BARANGAY III (POB.)","043426016","4009","+63 495010359"," "," ","stacrurhu1@yahoo.com.ph"," "," ","BECINA","DELIA","AGUS","Municipal Health Officer","","",""
"DOH000000000000157","157","SAN LUIS RURAL HEALTH UNIT II"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SAN LUIS","041024000","BANOYO","041024005","4210"," "," ","+63 434118121"," "," "," ","LEAÑO","LORENZO"," ","Municipal Health Officer","","",""
"DOH000000000000158","158","LIAN RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","J.P. RIZAL STREET"," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LIAN","041013000","BARANGAY  2 (POB.)","041013017","4216","+63 432152723","+63 432152320","+63 432152723"," "," "," ","VERGARA","MARILYN GILDELITA","ALVIOR","Municipal Health Officer","","",""
"DOH000000000000159","159","STRIKE SA SERBISYO CITY HEALTH UNIT I (POBLACION)","BACOOR RURAL HEALTH UNIT I","","","Rural Health Unit","Government","Local Government Unit","","EVANGELISTA STREET","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","BACOOR CITY","042103000","TABING DAGAT","042103023","4102","+63 454-3311","","","poblacionrhui@yahoo.com","","","DEGUZMAN","MUTYA MARVIS","CORPUZ","Medical Officer","Not Applicable","",""
"DOH000000000000161","161","CARMONA RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CARMONA","042104000","BARANGAY  4 (POB.)","042104015","4116","+63 464302372"," ","+63 46 4302372","mho.carmona@gmail.com"," "," ","AGUINALDO","HOMER","L.","Municipal Health Officer","","",""
"DOH000000000000163","163","DASMARIÑAS CITY HEALTH OFFICE II","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CITY OF DASMARI?AS","042106000","SANTA CRUZ I","042106041","4115","+63 464165638","","+63 464165638","dasma_cho2pidsr@yahoo.com","","","CAZEÑAS","MINERVA","MANGUBAT","City Health Officer","","",""
"DOH000000000000170","170","SAN MATEO RURAL HEALTH UNIT I","","","","Rural Health Unit","Government","Local Government Unit","","GSIS DAANG BAKAL","","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","SAN MATEO","045811000","MALY","045811008","1850","+63 029944735","","","","","","BERGADO","MARIA MELISSA","","Public Health Nurse","","",""
"DOH000000000000183","183","TANAY RURAL HEALTH UNIT I"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","MARCELO H. DEL PILAR STREET"," ","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","TANAY","045812000","KAYBUTO (POB.)","045812005","1980","+63 027033051","+63 026542608","+63 026542608","rhutanay@yahoo.com"," "," ","LUCE","RENE","VALDEZ","Municipal Health Officer","","",""
"DOH000000000000187","187","CCH RURAL HEALTH UNIT BIRTHING HOME","RODRIGUEZ MUNICIPAL HEALTH CENTER","","","Rural Health Unit","Government","Local Government Unit","","147 J.P. RIZAL AVENUE","","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","RODRIGUEZ (MONTALBAN)","045808000","BALITE (POB.)","045808001","1860","+63 026543336","","","mhorodriguezofficial@yahoo.com","","","JAVIER","MARIA CARMELA","VALDEZ","Municipal Health Officer","","",""
"DOH000000000000188","188","BALETE RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","BALETE","041004000","POBLACION","041004009","4219","+63 437720209","","","baleterhu@gmail.com","","","QUINTO","CZAR","","Municipal Health Officer","","",""
"DOH000000000000816","816","ANTIPOLO RURAL HEALTH UNIT II"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","SUMULONG HIGHWAY"," ","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","CITY OF ANTIPOLO (Capital)","045802000","MAYAMOT","045802004","1870"," "," "," ","mojica.nita@gmail.com"," "," ","MOJICA","JUANITA"," ","Public Health Nurse","","",""
"DOH000000000000820","820","BAGONG POOK DIST. 1-B (SAN PABLO 1-B)"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","LUCENA CITY (Capital)","045624000"," "," ","4301"," "," "," "," "," "," "," "," "," "," ","","",""
"DOH000000000000821","821","BAGONG POOK DIST. II(CONCEPCION HC)"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","LUCENA CITY (Capital)","045624000"," "," ","4301"," "," "," "," "," "," "," "," "," "," ","","",""
"DOH000000000000822","822","BAGONG POOK DISTRICT V (STO. CRISTO HC)"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","LUCENA CITY (Capital)","045624000"," "," ","4301"," "," "," "," "," "," "," "," "," "," ","","",""
"DOH000000000000830","830","GRUAR HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","4TH STREET PHASE I"," ","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","CAINTA","045805000","SANTO DOMINGO","045805020","1900"," "," "," "," "," "," ","BUENVIAJE","ELIZABETH","R.","Rural Health Physician","","",""
"DOH000000000000831","831","KARANGALAN HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","KARANGALAN DRIVE"," ","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","CAINTA","045805000","SAN ISIDRO","045805015","1900"," "," "," "," "," "," ","CAALIM","ZOSIMO","LEGASPI","Rural Health Physician","","",""
"DOH000000000000833","833","CALACA RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","CALACA","041007000","BARANGAY  3 (POB.)","041007008","4212","+63 432235047","+63 432237220","+63 434240345","mho_calaca@yahoo.com"," "," ","ONA","M. GHAAN"," ","Rural Health Physician","","",""
"DOH000000000000834","834","CALAMBA CITY HEALTH OFFICE"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","CITY OF CALAMBA","043405000","BARANGAY 7 (POB.)","043405044","4027","+63 495456597"," "," ","cho_calamba@yahoo.com"," "," ","KHAN","RODOLFO"," ","City Health Officer","","",""
"DOH000000000000837","837","CANDELARIA RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","CANDELARIA","045608000"," "," ","4323"," "," "," "," "," "," "," "," "," "," ","","",""
"DOH000000000000854","854","JALA-JALA RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","I. PASCUAL STREET"," ","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","JALA-JALA","045807000","SPECIAL DISTRICT (POB.)","045807015","1990","+63 027361538"," "," "," "," "," ","BELTRAN","PEDRO BENIGNO","MONTON","Municipal Health Officer","","",""
"DOH000000000000859","859","LIPA CITY MAIN HEALTH CENTER (EAST DISTRICT)"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LIPA CITY","041014000","SABANG","041014054","4217","+63 439810013"," "," "," "," "," ","QUINTO","RUBY","P.","Municipal Health Officer","","",""
"DOH000000000000889","889","ROSARIO RURAL HEALTH UNIT I"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","ROSARIO","041021000","BARANGAY B (POB.)","041021032","4225","+63 437401338","+63 433211048","+63 437401256","rosariorhu_07@yahoo.com"," "," ","LUNA","LUISITO","TAGLE","Municipal Health Officer","","",""
"DOH000000000000892","892","SAN JUAN RURAL HEALTH UNIT II"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SAN JUAN","041023000"," "," ","4226"," "," "," "," "," "," "," "," "," "," ","","",""
"DOH000000000000910","910","TANAUAN RURAL HEALTH UNIT I"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","MAYAPIS STREET"," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","CITY OF TANAUAN","041031000","POBLACION BARANGAY  3","041031034","4232","+63 437781001"," "," "," "," "," ","BAUTISTA","ADEL","S.","City Health Officer","","",""
"DOH000000000000911","911","TANAUAN RURAL HEALTH UNIT II"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","CITY OF TANAUAN","041031000","SAMBAT","041031040","4232","+63 437781274"," "," ","cho2tanauan@gmail.com"," "," ","BAUTISTA","IMELDA ROSAL"," ","Rural Health Physician","","",""
"DOH000000000001398","1398","UNISAN RURAL HEALTH UNIT/MAIN HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","UNISAN","045649000","MULIGUIN","045649020","4305","+63 425498376"," "," ","fabian.zubiri@yahoo.com"," "," ","ZUBIRI","FABIAN","C.","Municipal Health Officer","","",""
"DOH000000000001405","1405","INFANTA RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","INFANTA","045620000"," "," ","4336"," "," "," "," "," "," "," "," "," "," ","","",""
"DOH000000000001420","1420","JOMALIG RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","HIGHWAY 54 STREET"," ","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","JOMALIG","045621000","TALISOY (POB.)","045621004","4342"," "," "," "," "," "," ","CRSITOBAL","MARIELLE CARMELA"," ","Municipal Health Officer","","",""
